NU_ANO_CENSO;NO_REGIAO;CO_REGIAO;NO_UF;SG_UF;CO_UF;NO_MUNICIPIO;CO_MUNICIPIO;NO_REGIAO_GEOG_INTERM;CO_REGIAO_GEOG_INTERM;NO_REGIAO_GEOG_IMED;CO_REGIAO_GEOG_IMED;NO_MESORREGIAO;CO_MESORREGIAO;NO_DISTRITO;CO_DISTRITO;NO_ENTIDADE;CO_ENTIDADE;TP_DEPENDENCIA;TP_CATEGORIA_ESCOLA_PRIVADA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;DV_ENTIDADE;COD_ENTIDADE
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CEMEI JAIR LANDIM DE ALMEIDA;33142254;3;;1;0.0;0;331422540
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;E M DE EDUCACAO DE SURDOS;33142262;3;;1;0.0;0;331422620
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;PROJETO CRISTO REI;33142521;4;;1;;0;331425210
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CENTRO EDUCACIONAL POSITIVA IDADE;33142823;4;1.0;2;0.0;0;331428230
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;EM PREF JOSE LUIZ RIBEIRO RESECK;33146500;3;;1;0.0;0;331465000
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;EM CORNELIS VEROLME;33153540;3;;1;0.0;0;331535400
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;COOPERATIVA DE TRABALHO EDUCACIONAL CESAR ALMEIDA;33156913;4;1.0;1;0.0;0;331569130
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;EM MORADA DO BRACUHY;33157456;3;;1;0.0;0;331574560
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;E M REGINA CELIA MONTEIRO PEREIRA;33159424;3;;1;0.0;0;331594240
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CENTRO DE EDUCACAO INFANTIL SANTA RITA;33162654;4;1.0;1;0.0;0;331626540
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CEMEI JULIA MOREIRA DA SILVA;33162891;3;;1;0.0;0;331628910
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CENTRO EDUCACIONAL VIEIRA CASTRO E JARDIM DE INFANCIA E HORA DE APRENDER;33164525;4;1.0;1;0.0;0;331645250
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CENTRO EDUCACIONAL MAIA JARDIM DE INFANCIA CRIANCA FELIZ;33164533;4;1.0;1;0.0;0;331645330
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;COOPERATIVA DOS PROFISSIONAIS DA EDUCACAO DE ANGRA DOS REIS;33164541;4;1.0;1;0.0;0;331645410
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CENTRO EDUCACIONAL LIMA E OLIVEIRA E JARDIM DE INFANCIA BEM ME QUER;33164550;4;1.0;1;0.0;0;331645500
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CENTRO EDUCACIONAL SEMENTINHA FELIZ;33164568;4;1.0;1;0.0;0;331645680
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;UNIDADE DE TRABALHO DIFERENCIADO;33169403;3;;1;0.0;0;331694030
